Grid,Slow,Fast,Rapid
61,0,0,0
75,0,0,0
76,0,1,0
77,0,0,0
88,0,0,0
89,1,0,0
90,0,0,0
91,0,0,0
101,0,0,0
102,0,0,0
103,0,0,0
104,0,0,0
105,0,0,0
106,0,0,0
107,0,0,0
109,0,0,0
115,0,0,0
116,0,1,0
117,0,0,0
119,0,1,0
121,0,1,0
123,0,0,0
129,0,0,0
134,0,2,1
143,0,0,0
144,0,0,0
145,0,0,0
146,1,1,0
147,0,0,1
148,0,0,0
149,0,0,0
150,0,0,0
156,0,0,0
157,0,0,0
159,0,0,0
160,0,0,1
161,0,1,0
162,0,0,0
163,0,0,0
164,0,0,0
171,0,0,0
172,0,0,0
173,0,0,0
175,0,0,0
176,0,0,0
177,0,0,0
178,1,0,0
184,0,0,0
185,0,0,0
186,0,0,0
187,0,0,0
188,0,0,0
189,0,0,1
190,0,0,0
191,0,0,0
192,0,0,0
198,0,0,0
199,0,1,0
200,0,0,1
201,2,0,0
202,0,0,0
203,0,0,0
205,0,0,0
206,0,0,0
213,0,3,0
214,2,2,0
215,2,0,0
216,0,0,0
217,0,1,0
228,2,0,0
229,0,0,0
230,0,0,0
233,0,0,0
234,0,0,0
242,0,0,0
246,0,0,0
247,0,0,0
248,0,0,0
249,0,0,0
263,0,0,0
272,0,0,0
274,0,0,0
275,1,0,0
286,0,0,0
287,1,0,0
288,1,0,0
290,1,0,0
291,0,0,0
299,1,0,0
300,0,0,0
301,0,0,0
304,0,0,0
316,0,0,0
327,0,0,0
328,0,0,0
331,0,0,0
342,0,0,0
343,0,0,0
345,0,0,0
355,0,0,0
356,0,0,0
369,2,0,1
382,0,0,0
385,0,0,0
397,0,1,0
399,0,0,0
400,0,0,0
412,0,0,0
